PARTY,CONSTITUENCY,NAME,SENTIMENT,SYMBOL,GENDER,REVIEWS,
BJP,ALMORA,Ajay Tamta,1,Lotus,MALE,Uttarakhand reaches new heights due to the efforts of PM Modi,
INC,ALMORA,Pradeep Tamta,0,Hand,MALE,Do not make students your weapons.Do not play such games with YOUTH.OPEN ALMORA MEDICAL COLLEGE.Future of many students are at stake.,
NOTA,ALMORA,NOTA,1,,,The party was ok,
BSP,ALMORA,Sunder Dhoni (Advocate),1,Elephant,MALE,BSP Telangana team continue doing good efforts for capture the power in 2023 . Jai Bhim Jai Bharat,
BJP,ALWAR,Balak Nath,1,Lotus,MALE,Strong and Positive Response from citizens and party workers . Heading towards a Clean Sweep Win !,
INC,ALWAR,Bhanwar Jitendra Singh,0,Hand,MALE,Stop this nonsense.....We Want Justice,
BSP,ALWAR,Imran Khan,1,Elephant,MALE,BSP Telangana team continue doing good efforts for capture the power in 2023 . Jai Bhim Jai Bharat,
YSRCP,AMALAPURAM,CHINTA ANURADHA,0,Ceiling Fan,FEMALE,Need solutions for people during floods. The condition  is so bad during floods,
TDP,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),1,Bicycle,MALE,"Changeâ€™ Started In Andhra PradeshJagan should be very worried!For the position of not contesting elections only a few months ago to tight contest at many places, TDP has clearly improved.",
JnP,AMALAPURAM,D M R SEKHAR,1,Glass Tumbler,MALE,Janaseena party has collide with any other party Cannot sustain on its own,
NOTA,AMALAPURAM,NOTA,1,,,"Best thing about blind followers is that  they can defend any action of their leader. If 1st they were defending something which later will be taken back later they will defend that also with some lament.Best option is to do ""None of the above"" ",
BJP,AMBALA,RATTAN LAL KATARIA,1,Lotus,MALE,Only BJP is best for now in India,
INC,AMBALA,SELJA,1,Hand,FEMALE,"Mark my words, the Govt will have to take back the anti-farm laws.",
BSP,AMBALA,NARESH KUMAR,1,Elephant,MALE,BSP is only Dalit's power,
INLD,AMBALA,RAM PAL,0,Spectacles,MALE,"No money for sportsmen , but enough for Ministers trips !  ",
BSP,AMROHA,KUNWAR DANISH ALI,1,Elephant,MALE,This is insane. Democracies don't work like this. It's time for you to show up.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
INC,AMROHA,SACHIN CHOUDHARY,1,Hand,MALE,Poor  get free ration,
CPI(M),AMRITSAR,DASWINDER KAUR,0,Ears of Corn And Sickle,FEMALE,It was inspired by the Soviet Socialist revolution led by working class in Russia,
NOTA,AMRITSAR,NOTA,1,,,ok,
BSP,AMROHA,KUNWAR DANISH ALI,1,Elephant,MALE,This is insane. Democracies don't work like this. It's time for you to show up.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
INC,AMROHA,SACHIN CHOUDHARY,1,Hand,MALE,Poor  get free ration,
YSRCP,ANAKAPALLI,Dr.Beesetti Venkata Satyavathi,1,Ceiling Fan,FEMALE,Need solutions for people during floods. The condition  is so bad during floods,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"Changeâ€™ Started In Andhra PradeshJagan should be very worried!For the position of not contesting elections only a few months ago to tight contest at many places, TDP has clearly improved.",
JnP,ANAKAPALLI,Chintala Partha Sarathi,1,Glass Tumbler,MALE,Janaseena party has collide with any other party Cannot sustain on its own,
BJP,ARGA,Satyapal Singh Baghel,1,Lotus,MALE,BJP focuses on positive  campaigns instead of personal attacks opposition parties,
INC,ANANTNAG,GHULAM AHMAD MIR,0,Hand,MALE,"Loot, cheat, riot, betray, defraud, defame, terrorise, rape, murder, patronise underworld",
JKPDP,ANANTNAG,MEHBOOBA MUFTI,0,Ink Pot & Pen,FEMALE,Desecrating Indian constitution to dismember & disempower J&K was done only to please their voters. I hope they course correct here too & reverse the illegal changes made in J&K since August 2019.,
BJP,ANANTNAG,SOFI YOUSUF,1,Lotus,MALE,Big refugee land scam by ch lal singh ex #BJP  minister and his brother in kathua revenue department is also involved with land grabbers jk goverment does not take any action,
JPC,ANANTNAG,CH. ZAFFAR ALI,1,Apple,MALE,probe into alleged manipulation of elections by the US tech company.,
IND,ANANTNAG,GH. MOHD. WANI,1,Table,MALE,The party was ok,
INC,ANDAMAN & NICOBAR ISLANDS,KULDEEP RAI SHARMA,1,Hand,MALE,Support of radical leftovers of 1947,
BJP,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
IND,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,0,Helicopter,MALE,You will see big attempts to provoke dalits & many more cases will be created to generate unrest among #Dalits.This is bad,
AAP,ANDAMAN & NICOBAR ISLANDS,SANJAY MESHACK,1,Broom,MALE,Aam Aadmi Party inspired by the commendable work,
BJP,AONLA,DHARMENDRA KASHYAP,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
BSP,AONLA,RUCHIVIRA,1,Elephant,FEMALE,"And #BSP will fight with #BJP? Will speed up Ram temple, BSP promises Brahmins",
INC,AONLA,KUNWAR SARVARAJ SINGH,1,Hand,MALE,INC to play communal card to get support of radical leftovers of 1947 prior to UP elections .Expect peddling of more hate from #INC till UP elections,
DMK,ARAKKONAM,S. JAGATHRAKSHAKAN,1,Rising Sun,MALE,#DMK #TNgovt #Chennai roads stagnated with water. The people living very much dangerous to walk in the water. Last Rain  a child electrocuted and thistime cowsPoor Electric Wiring & exposed Electric Boxes without any safety #TamilNadu,
CPI(M),AMRITSAR,DASWINDER KAUR,0,Ears of Corn And Sickle,FEMALE,"He alleged that during the peak COVID-19 crisis, when common man was having difficulty in getting a proper meal",
NOTA,AMRITSAR,NOTA,0,,,The party is not co-operative,
BSP,AMROHA,KUNWAR DANISH ALI,1,Elephant,MALE,This is insane. Democracies don't work like this. It's time for you to show up.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
INC,AMROHA,SACHIN CHOUDHARY,0,Hand,MALE,Poor do not get free ration,
YSRCP,ANAKAPALLI,Dr.Beesetti Venkata Satyavathi,1,Ceiling Fan,FEMALE,Need solutions for people during floods. The condition  is so bad during floods,
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"Changeâ€™ Started In Andhra PradeshJagan should be very worried!For the position of not contesting elections only a few months ago to tight contest at many places, TDP has clearly improved.",
JnP,ARUKU,GANGULAIAH VAMPURU.,1,Glass Tumbler,MALE,Janaseena party has collide with any other party Cannot sustain on its own,
BJP,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
INC,ARUKU,SHRUTI DEVI VYRICHERLA,1,Hand,FEMALE," no Loot, cheat, riot, betray, defraud, defame, terrorise, rape, murder, patronise underworld",
IND,ARUKU,KANGALA BALUDORA,1,Cup & Saucer,MALE,The party leaders are responsible to the public,
IND,ARUKU,NARAVA SATYAVATHI,1,Bangles,FEMALE,"Respecting the dignity of women,Over 3 crore LPG connections have been released across India until now by government.",
BJP,ARUNACHAL EAST,Tapir Gao,1,Lotus,MALE,BJP govt from the starting has been working for the welfare of the people.,
INC,ARUNACHAL EAST,Lowangcha Wanglat,0,Hand,MALE,"Loot, cheat, riot, betray, defraud, defame, terrorise, rape, murder, patronise underworld",
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"The number of good governance measures taken by the @narendramodiGovernment are innumerable. Let us keep working together, and through our collective spirit take India to even newer heights in the times to come.",
INC,AUTONOMOUS DISTRICT,BIREN SINGH ENGTI,1,Hand,MALE,Meaning of democracy and constitutional rights in #INC is well known to the  people of Assam.,
MNM,ARAKKONAM,"RAJENDRAN, N.",1,Battery Torch,MALE, fullfill the public wishes,
BJP,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,1,Lotus,MALE,"Govt used women marshals to defame, frame Opposition",
INC,ARUKU,SHRUTI DEVI VYRICHERLA,0,Hand,FEMALE,they are cheaters and not standing for the welfare of the people,
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE, right man in the right place at right time,
BJP,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,1,Lotus,MALE,made India digital which helped in developing of the country ,
MNM,ARAKKONAM,"RAJENDRAN, N.",1,Battery Torch,MALE,"The word ‘Progress’ lost all its meaning, consequential to the lack of transparency, the alarming rise of the corruption graph, the inefficient disposition of our politicians and their 'norm' of under-the-table transactions to discharge their basic responsibilities. Progress stands redemption less, like an overwritten bad debt.",
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,"He worked hard for his masters, who made him PM. Destroyed all Labour Laws, made Land Acquisition Law easy, implemented GST, Demonetisation to acquire enough money to give fresh loans to big capitalists, who had faltered earlier and whose unpaid loans/taxes were exempted, brough FDI, even in defence sectors 100% to please foreign masters, allowed US Army to inspect our military bases, let them have our all personnel data through Aadhar Card and FB, etc, etc!",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"Employement issue is not addressed, no step towards reduction of living cost. ",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,This party had made Creation of international pedestal,
INC,AGRA,Preeta Harit,0,Hand,FEMALE,Their contributions include all the SCAMS of India,
BJP,AHMEDABAD WEST,DR. KIRIT P. SOLANKI,1,Lotus,MALE, GST and fake currency is the great decision taken by this party.,
INC,AJMER,Riju Jhunjhunwala,0,Hand,MALE,if INC becomes winner then The multi-crore scams would have multiplied further and new jab scams would have taken birth.,
INC,AHMEDABAD WEST,RAJU PARMAR,1,Hand,MALE," no corruption, scams",
BJP,ARUKU,Dr. KOSURI KASI VISWANADHA VEERA VENKATA SATYANARAYANA REDDY,1,Lotus,MALE,"Defence sector improvement ( Push to indignation of advance weapons , support to indigenous products , budget 2022–23 68% reserve for local purchase. )",
BJP,ARUNACHAL EAST,Tapir Gao,1,Lotus,MALE,"Good done by BJP :Creation of international pedestal,   Reduction of corruption at political leaders level,GST,FAKE currency reduction,Sergical strike",
INC,AUTONOMOUS DISTRICT,BIREN SINGH ENGTI,0,Hand,MALE,"No reformation in education system,Excessive state level cheap campaign",
BJP,AJMER,Bhagirath Chaudhary,1,Lotus,MALE, Some reduction in babudom is his top good thing done,
INC,AGRA,Preeta Harit,0,Hand,FEMALE,"Not doing enough on freedom of press and muzzling everyone who speaks ill of the government. In a democracy, all voices should be heard.",
BJP,ARUNACHAL EAST,Tapir Gao,1,Lotus,MALE,GST implementation and infrastructure investments are good steps.,
BJP,AKOLA,Dhotre Sanjay Shamrao,1,Lotus,MALE,"Under Modi Government first time in the history of India, Army decided to launch a surgical strikes in POK. This was an applauding decision by Modi since it requires lot of willpower and courage to sanction such operations.",
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE, Due to Jan Chan Yojana even the poorest of poor is now having a bank account. Such account will help in faster distribution of subsidies to them. It will save lot of money.,
MNM,ARAKKONAM,"RAJENDRAN, N.",1,Battery Torch,MALE,A government for the people essentially means a government by the people; a government that prides itself for the active contribution from its people. The future of Thamizh Nadu should be an ideal 'state' where the needs and rights of the people face no opposition from any dimension.,
BJP,AUTONOMOUS DISTRICT,HOREN SING BEY,1,Lotus,MALE,"good things done are  After the passing of IIM Bill 2017 the IIMs are going to become more independent. Earlier they were allowed to give only diploma in management. However, now they can give even a degree.",
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,"There are only good things initiated by modiji.like swatch Bharat ,banning of high value currency ,bringing GST to country which was long waited .there is much more transparency in system than in previous governments.there is nothing bad started by government ya some schemes are slowly picking but u can't write it off .more or less govt has worked very well",
INC,AGRA,Preeta Harit,1,Hand,FEMALE," Give educatIon,give toilets , give health care and most important thing is create jobs",
TDP,AMALAPURAM,GANTI HARISH MADHUR (BALAYOGI),0,Bicycle,MALE,Chandrababu Naidu unveils schemes named after himself,
BJP,ALAPPUZHA,Dr. K. S. RADHAKRISHNAN,1,Lotus,MALE, Mr Narendra Modi is a dynamic personality like Pandit Jawahar Lal Nehru and can do wonders provided he remains within the envelop of the Constitution of India.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,"According to me, there are many good things done by Modi government till date. The best one among them is definitely GST. This is the most revolutionary step and a milestone in the reshaping of revenue sources.",
INC,AMROHA,SACHIN CHOUDHARY,1,Hand,MALE,"Depreciation of rupee:  The value of rupee has nose-dived ever since the Congress started ruling in 2004. Simple statistics reveal that the variation in rupee value was between 39 and 49 per USD till 2004. It saw an unprecedented fall in the last 10 years as the value went as low as 68 per USD.Now that puts a question mark on the Congress’s economic and fiscal policies. The party’s policies didn’t evoke global confidence, which is touted as the major reason for this instability.",
JnP,ANAKAPALLI,Chintala Partha Sarathi,1,Glass Tumbler,MALE,Excessive state level campaign,
IND,ANDAMAN & NICOBAR ISLANDS,PARITOSH KUMAR HALDAR,1,Helicopter,MALE,Much better,
B+A132:V135JP,ANDAMAN & NICOBAR ISLANDS,VISHAL JOLLY,1,Lotus,MALE,"Best things done are Article 370 removed from Jammu &Kashmir,CAA(Citizenship Ammendment Act),Aadhar Bill passed in parliament",
INC,ARUKU,SHRUTI DEVI VYRICHERLA,1,Hand,FEMALE,"According to the economic reports, India lost momentum in GDP growth under the Congress’s rule.  The average GDP growth till 2004 was 6% a year.  As of June 30, 2013, the average annual GDP growth fell to 4.4% in 2013.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE," Demonetization, though a bad step for others, is another good thing for me. Economy will definitely comsume its good outcome in the long run.",
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,First that pisses me off is the security of female citizens. Government has done enough to protect cows. But what about female citizens? ,
TRS,ADILABAD,Godam Nagesh,0,Car,MALE,Government has failed to curb the jobless growth. ,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,"The present Government has many achievements to its credit. The Swachh Bharat Mission, Smart Cities, Make in India, Mudra, tart up India, Ujjwala, Bbeti Bachao, Beti padhao, Highways development, Port development, Oil and Gas pipelines, Skill Development, Rail way infrastructure development, Clean Ganga, River revival scheme and recovery of black money.",
YSRCP,AMALAPURAM,CHINTA ANURADHA,1,Ceiling Fan,FEMALE,"Free electricity for farmers, Rajiv Arogya Sri for health ",
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE,Organising the Peasants in the Kisan Sabha is a good achievement,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE, Government has done very good work with improving relationship with most countries. ,
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"TRS is doing well in Telangana, Apparently govt is focused on it’s own people welfare and also inviting new investments into state to create jobs in the private sector",
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE," The value of rupee has nose-dived ever since the Congress started ruling in 2004. Simple statistics reveal that the variation in rupee value was between 39 and 49 per USD till 2004. It saw an unprecedented fall in the last 10 years as the value went as low as 68 per USD.Now that puts a question mark on the Congress’s economic and fiscal policies. The party’s policies didn’t evoke global confidence, which is touted as the major reason for this instability.",
YSRCP,AMALAPURAM,CHINTA ANURADHA,1,Ceiling Fan,FEMALE,2 rupees rice for poor people,
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE,The economic growth is also very good. Only area need attention is creation of jobs for youths. Hope things may improve soon.,
NOTA,ALIPURDUARS,NOTA,0,,,None,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,"Modi done a very good job till today likes of make in india,Digital India, land acquisition bill etc.But fail to construct Ram Mandir and donot handle Pakistan hardly which is required.",
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,"EVERY THING IS GOOD EXCEPT THAT HE HAS NO LISTENERS IN RALLYS ,NO LISTENER ON MAN KI BAAT ,HAS ASKED FOR VIRTUAL RALLYS ,AND THEIR PUBLIC REPRESENTATIVES ARE BEING BOOED AND KICKED AT EVERY CONSTITUENCY VISIT .IN THE LOK SABHA ELECTIONS IT WILL BE MODIS TIRN TO FACE THE HEAT .",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,Nothing wrong with party. cast politics played during 2019 elections. and also AP people fail to see and understand CBN vision. Now paying penalty. being AP citizen I can tell this much.,
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE, Dealing Heavy Blows to the Feudal Hegemony,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,"We are talking about Digital India, Make In India, Swaccha Bharat so on and so forth. Its good, there is no denying to it. However >60% of Indian Population still lives in villages and we need to make the policies to make their life better and essential commodities cheaper. ",
INC,AJMER,Riju Jhunjhunwala,0,Hand,MALE,"How about lift irrigation to all villages, cheap fertilizers, cheap agricultural instruments etc. On the contrary, what we see is, farmer suicide. All we want is a pro-farmer govt.",
JKPDP,ANANTNAG,MEHBOOBA MUFTI,1,Ink Pot & Pen,FEMALE,dedication towards public service & his role in the socio-economic development of Kupwara will always be remembered. Allah jannat naseeb farmaye.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,India should choose Mr. Narendra Modi  as the Prime Minister elections because of his power of execution in timely manner and ability to take decision at the right time.,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,guiding force for every Indian; for a 1st time we have a PM who gives the message to bring society together in various ways using #MannKiBaat Program,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Best of all the other Indian politicians,
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,"The Congress’s performance in this sector looks dismal. When it returned to power, there was no existence of current account deficit. In fact, we had an impressive surplus of around $8 billion. Ten years later, that figure stands at (-) $80 billion. This is where the party has disappointed the nation the most.",
NOTA,ALIPURDUARS,NOTA,1,,,ok,
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE,"Honest & Inspiring personality For NaMo it is always ""India First""",
TDP,ANAKAPALLI,ADARI ANAND KUMAR,1,Bicycle,MALE,"NTR started TDP with a vision to empower the telugu people. Initially his intentions were idealistic and he did succeed in bringing change. However within few years time his party and its ideology were hijacked by some caste maniacs. Because of them TDP started to identify more with a particular caste and started politics of vendetta against castes they deemed to be their political rivals. This distanced some castes from the TDP, especially the Kapus.",
YSRCP,AMALAPURAM,CHINTA ANURADHA,1,Ceiling Fan,FEMALE,Indiramma illu for poor helped at lot,
BJP,AGRA,Satyapal Singh Baghel,1,Lotus,MALE,Swacchta was made a mission and inspires society to take it forward,
INC,AJMER,Riju Jhunjhunwala,1,Hand,MALE,"There has been a more than a three-fold rise in the country’s external debt since 2004, which reflects poorly on the UPA’s economic measures. Going by the experts, this unimpressive state of economy could be attributed to the Congress’s retrospective tax legislation and several regressive policies, especially in the last five years.",
CPI(M),ALATHUR,DR. P.K.BIJU,1,"Hammer, Sickle and Star",MALE, Economic Offensive against the Landed Gentry is one of the important achievement ,
BJP,AKBARPUR,Devendra Singh 'Bhole',1,Lotus,MALE,"Black money bill, enemy property act, RERA bill shows his fight against corruption",
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,"Agreement with countries like Switzerland, Mauritius, Singapore and other countries making it difficult launder Black MoneyMoney",
TRS,ADILABAD,Godam Nagesh,1,Car,MALE,"After the new state formation, in every election TRS won with a big majority, with in a very short time govt proved they are committed to serve, few initiatives like increasing pension to elders and removing a cap in public ration supply, uninterpreted power supply to it’s citizens and farmers across the state, better drinking water supply are very well recognized by the people at grassroots.",
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE, Promoting Yoga and got 100s of countries to commit for International Yoga Day,
VBA,AKOLA,Ambedkar (Adv) Prakash Yashwant,0,Cup & Saucer,MALE,None,
BJP,AMROHA,KANWAR SINGH TANWAR,1,Lotus,MALE,10% Reservation for economically weaker section.Good step for weaker section.,
IND,ARUKU,NARAVA SATYAVATHI,0,Bangles,FEMALE,corruption! Corruption! Corruption!,
BJP,ADILABAD,SOYAM BAPU RAO,1,Lotus,MALE,Khelo India initiative to find young sports talent (nobody thought about this before),
INLD,AMBALA,RAM PAL,0,Spectacles,MALE,"Best thing about blind followers is that  they can defend any action of their leader. If 1st they were defending something which later will be taken back later they will defend that also with some lament.Best option is to do ""None of the above"" ",
TRS,ADILABAD,Godam Nagesh,0,Car,MALE,"The Telangana Rashtra Samithi on Thursday staged a walkout in Lok Sabha demanding action from the government to check the alleged suicides by the unemployed youths, and recruitment in one million vacant posts in central government. As soon as the House met, the TRS members, led by floor leader Nama Nageswara Rao, came to the Well of the House demanding a discussion on the unemployment issue.",
CPI(M),AMRITSAR,DASWINDER KAUR,1,Ears of Corn And Sickle,FEMALE,Exercising All-round Control of the Peasantry through Village Committees,
BJP,AHMADNAGAR,Dr. SUJAY RADHAKRISHNA VIKHEPATIL,1,Lotus,MALE,Massive push for Direct Benefit Transfer initiative (saved taxpayers money from middlemen and reduced time for development work),
INC,AONLA,KUNWAR SARVARAJ SINGH,0,Hand,MALE,"Coal scam: Irregularities in the auctioning of the 194 coal blocks are known to most of us. The Congress stands heavily condemned by the opposition, as the scam caused a loss of Rs. 1.86 lakh crore to the exchequer.",
